1 Kings 19:9-18,Proper 14A
"1 Kings 19:15-16,19-21",Proper 8C
"1 Kings 21:1-10, (11-14),15-21a",Proper 6C
2 Kings 2:1-12,Last Epiphany B
"2 Kings 2:1-2,6-14",Proper 8C
2 Kings 4:42-44,Proper 12B
2 Kings 5:1-14,Epiphany 6B / Proper 1B
2 Kings 5:1-14,Proper 9C
"2 Kings 5:1-3,7-15c",Proper 23C
"Nehemiah 8:1-3,5-6,8-10",Epiphany 3C
"Esther 7:1-6,9-10; 9:20-22",Proper 21B
Job 1:1;2:1-10,Proper 22B
Job 14:1-14,Holy Saturday
Job 19:23-27a,Proper 27C
"Job 23:1-9,16-17",Proper 23B
"Job 38:1-7,(34-41)",Proper 24B
Job 38:1-11,Proper 7B
"Job 42:1-6,10-17",Proper 25B
Psalm 1,Epiphany 6C / Proper 1C
Psalm 1,Easter 7B
Psalm 1,Proper 18C
Psalm 1,Proper 20B
Psalm 1,Proper 25A
Psalm 1,St James of Jerusalem
Psalm 2,Last Epiphany A
Psalm 2,St Mark
Psalm 4,Easter 3B
Psalm 5:1-8,Proper 6C
Psalm 7:1-10,St James
Psalm 8,Thursday in Easter Week
Psalm 8,"Trinity Sunday A,C"
Psalm 8,Proper 22B
Psalm 8,Holy Name A
Psalm 9:9-20,Proper 7B
Psalm 13,Proper 8A
Psalm 14,Proper 12B
Psalm 14,Proper 19C
Psalm 15,Epiphany 4A
Psalm 15,Proper 11C
Psalm 15,Proper 17B
Psalm 15,St Matthias
Psalm 16,Easter Vigil
Psalm 16,Easter 2A
Psalm 16,Proper 8C
Psalm 16,Proper 28B
Psalm 16:8-11,Monday in Easter Week
"Psalm 17:1-7,16",Proper 13A
Psalm 17:1-9,Proper 27C
Psalm 19,Epiphany 3C
Psalm 19,Lent 3B
Psalm 19,Easter Vigil
Psalm 19,Proper 19B
Psalm 19,Proper 22A
Psalm 19,St Andrew
Psalm 19:7-14,Proper 21B
Psalm 20,Proper 6B
Psalm 22,Good Friday
Psalm 22:1-15,Proper 23B
Psalm 22:18-27,Proper 7C
Psalm 22:22-30,Lent 2B
Psalm 22:24-30,Easter 5B
Psalm 23,Lent 4A
Psalm 23,"Easter 4A,B,C"
Psalm 23,Proper 11B
Psalm 23,Proper 23A
Psalm 23,Confession of St Peter
Psalm 24,Proper 10B
Psalm 24,All Saints B
Psalm 24:7-10,The Presentation
Psalm 25:1-8,Proper 21A
Psalm 25:1-9,Advent 1C
Psalm 25:1-9,Lent 1B
Psalm 25:1-9,Proper 10C
Psalm 26,Proper 22B
Psalm 26:1-8,Proper 17A
Psalm 27,Lent 2C
"Psalm 27:1,5-13",Epiphany 3A
Psalm 29,"Epiphany 1A,B,C"
Psalm 29,Trinity Sunday B
Psalm 30,Epiphany 6B / Proper 1B
Psalm 30,Easter 3C
Psalm 30,Proper 5C
Psalm 30,Proper 8B
Psalm 30,Proper 9C
Psalm 31,St Stephen
"Psalm 31:1-5,15-16",Easter 5A
"Psalm 31:1-4,15-16",Holy Saturday
"Psalm 31:1-5,19-24",Proper 4A
Psalm 31:9-16,"""Palm Sunday A,B,C"""
Psalm 32,Lent 1A
Psalm 32,Lent 4C
Psalm 32,Proper 6C
Psalm 32:1-8,Proper 26C
Psalm 33:1-12,Proper 5A
Psalm 33:12-22,Vigil of Pentecost
Psalm 33:12-22,Proper 14C
Psalm 33:18-22,Tuesday in Easter Week
Psalm 34,St Mary the Virgin
Psalm 34:1-8,Proper 14B
"Psalm 34:1-8,(19-22)",Proper 25B
"Psalm 34:1-10,22",All Saints A
Psalm 34:9-14,Proper 15B
Psalm 34:15-22,Proper 16B
Psalm 36:5-11,Monday in Holy Week
Psalm 36:5-10,Epiphany 2C
"Psalm 37:1-12,41-42",Epiphany 7C / Proper 2C
Psalm 37:1-10,Proper 22C
Psalm 40:1-12,Epiphany 2A
Psalm 40:5-10,The Annunciation
Psalm 41,Epiphany 7B / Proper 2B
Psalm 42,Easter Vigil
Psalm 42,Proper 7C
Psalm 42:1-7,St Mary Magdalene
Psalm 43,Easter Vigil
Psalm 43,Proper 7C
Psalm 43,Proper 26A
Psalm 45,The Annunciation
"Psalm 45:1-2,7-10",Proper 17B
Psalm 45:11-18,Proper 9A
Psalm 46,Easter Vigil
Psalm 46,Proper 4A
Psalm 46,Proper 29C
Psalm 47,Ascension Day
Psalm 48,Proper 9B
Psalm 49:1-11,Proper 13C
Psalm 50:1-6,Last Epiphany B
"Psalm 50:1-8,23-24",Proper 14C
Psalm 50:7-15,Proper 5A
Psalm 51:1-13,Lent 5B
Psalm 51:1-13,Proper 13B
Psalm 51:1-11,Proper 19C
Psalm 52,Proper 11C
Psalm 54,Proper 20B
Psalm 62:6-14,Epiphany 3B
Psalm 63:1-8,Lent 3C
Psalm 65,Proper 25C
Psalm 65,Thanksgiving Day A
"Psalm 65:(1-8),9-14",Proper 10A
Psalm 66:1-11,Proper 23C
Psalm 66:1-8,Proper 9C
Psalm 66:7-18,Easter 6A
Psalm 67,Easter 6C
Psalm 67,Proper 15A
Psalm 67,Conversion of St Paul
"Psalm 68:1-10,33-36",Easter 7A
"Psalm 69: 8-11,(12-17),18-20",Proper 7A
Psalm 70,Proper 27A
Psalm 70,Wednesday in Holy Week
Psalm 71:1-14,Tuesday in Holy Week
Psalm 71:1-6,Epiphany 4C
Psalm 71:1-6,Proper 16C
"Psalm 72:1-7,18-19",Advent 2A
"Psalm 72:1-7,10-14",The Epiphany
"Psalm 77:1-2,11-20",Proper 8C
"Psalm 78:1-4,12-16",Proper 21A
Psalm 78:1-7,Proper 27A
Psalm 78:23-29,Proper 13B
Psalm 79:1-9,Proper 20C
"Psalm 80:1-7,16-18",Advent 1B
"Psalm 80:1-7,16-18",Advent 4A
Psalm 80:1-7,Advent 4C
"Psalm 80:1-2,8-18",Proper 15C
Psalm 80:7-14,Proper 22A
Psalm 81:1-10,Proper 4B
"Psalm 81:1,10-16",Proper 17C
Psalm 82,Proper 10C
Psalm 82,Proper 15C
Psalm 84,Proper 16B
Psalm 84,The Presentation
Psalm 84:1-6,Proper 25C
Psalm 85,Proper 12C
Psalm 85,Nativity of St John the Baptist
"Psalm 85:1-2,8-13",Advent 2B
Psalm 85:8-13,Proper 10B
Psalm 85:8-13,Proper 14A
"Psalm 86:1-10,16-17",Proper 7A
Psalm 86:11-17,Proper 11A
Psalm 87,St Peter & St Paul
"Psalm 89:1-4,15-18",Proper 8A
"Psalm 89:1-4,19-26",Advent 4B
Psalm 89:1-29,St Joseph
Psalm 89:20-37,Proper 11B
"Psalm 90:1-6,13-17",Proper 25A
